DATE-TIME	LANE	VOLUME (Veh/10sec)	VEL (MPH)	OCC %	%MID	%LARGE	SENSOR-TIME
9/25/06 12:53 AM	1	2	54	11.8	50	50	212449990
9/25/06 12:53 AM	1	0	54	0	0	0	212450000
9/25/06 12:53 AM	1	1	53	8.6	0	100	212450010
9/25/06 12:53 AM	1	1	53	1.7	0	0	212450020
9/25/06 12:53 AM	1	0	53	0	0	0	212450030
9/25/06 12:54 AM	1	0	53	0	0	0	212450040
9/25/06 12:54 AM	1	0	53	0	0	0	212450050
9/25/06 12:54 AM	1	1	51	3.3	100	0	212450060
9/25/06 12:54 AM	1	0	51	0	0	0	212450070
9/25/06 12:54 AM	1	0	51	0.6	0	0	212450080
9/25/06 12:54 AM	1	1	51	9.2	0	100	212450090
9/25/06 12:55 AM	1	1	51	1.6	0	0	212450100
9/25/06 12:55 AM	1	2	52	11.6	0	50	212450110
9/25/06 12:55 AM	1	0	52	0	0	0	212450120
9/25/06 12:55 AM	1	1	51	8.8	0	100	212450130
9/25/06 12:55 AM	1	1	48	6.8	0	100	212450140
9/25/06 12:55 AM	1	0	48	9.1	0	0	212450150
9/25/06 12:56 AM	1	1	46	1.5	0	100	212450160
9/25/06 12:56 AM	1	0	46	0	0	0	212450170
9/25/06 12:56 AM	1	0	46	0	0	0	212450180
9/25/06 12:56 AM	1	1	46	11.2	0	100	212450190
9/25/06 12:56 AM	1	0	46	0	0	0	212450200
9/25/06 12:56 AM	1	2	45	5.8	0	0	212450210
9/25/06 12:57 AM	1	0	45	0	0	0	212450220
9/25/06 12:57 AM	1	1	45	8.9	0	100	212450230
9/25/06 12:57 AM	1	1	47	9.6	0	100	212450240
9/25/06 12:57 AM	1	1	45	2.9	0	0	212450250
9/25/06 12:57 AM	1	2	44	8	50	0	212450260
9/25/06 12:57 AM	1	0	44	0	0	0	212450270
9/25/06 12:58 AM	1	0	44	0	0	0	212450280
9/25/06 12:58 AM	1	1	46	9	0	100	212450290
9/25/06 12:58 AM	1	0	46	0	0	0	212450300
9/25/06 12:58 AM	1	1	48	10.7	0	100	212450310
9/25/06 12:58 AM	1	0	48	0	0	0	212450320
9/25/06 12:58 AM	1	1	47	9.7	0	100	212450330
9/25/06 12:59 AM	1	1	43	9	0	100	212450340
9/25/06 12:59 AM	1	0	43	0	0	0	212450350
9/25/06 12:59 AM	1	0	43	0	0	0	212450360
9/25/06 12:59 AM	1	1	44	9.4	0	100	212450370
9/25/06 12:59 AM	1	0	44	0	0	0	212450380
9/25/06 12:59 AM	1	0	44	0	0	0	212450390
9/25/06 1:00 AM	1	1	45	9.1	0	100	212450400
9/25/06 1:00 AM	1	0	45	0	0	0	212450410
9/25/06 1:00 AM	1	0	45	0	0	0	212450420
9/25/06 1:00 AM	1	1	50	3.1	100	0	212450430
9/25/06 1:00 AM	1	0	50	0	0	0	212450440
9/25/06 1:00 AM	1	0	50	0	0	0	212450450
9/25/06 1:01 AM	1	0	50	0	0	0	212450460
9/25/06 1:01 AM	1	0	50	0	0	0	212450470
9/25/06 1:01 AM	1	0	50	0	0	0	212450480
9/25/06 1:01 AM	1	1	49	8.5	0	100	212450490
9/25/06 1:01 AM	1	0	49	0	0	0	212450500
9/25/06 1:01 AM	1	0	49	0	0	0	212450510
9/25/06 1:02 AM	1	0	49	0	0	0	212450520
9/25/06 1:02 AM	1	0	49	0	0	0	212450530
9/25/06 1:02 AM	1	0	49	0	0	0	212450540
9/25/06 1:02 AM	1	0	49	0	0	0	212450550
9/25/06 1:02 AM	1	0	49	0	0	0	212450560
9/25/06 1:02 AM	1	0	49	0	0	0	212450570
9/25/06 1:03 AM	1	0	49	0	0	0	212450580
9/25/06 1:03 AM	1	1	50	10.1	0	100	212450590
9/25/06 1:03 AM	1	0	50	0	0	0	212450600
9/25/06 1:03 AM	1	0	50	0	0	0	212450610
9/25/06 1:03 AM	1	0	50	0	0	0	212450620
9/25/06 1:03 AM	1	0	50	0	0	0	212450630
9/25/06 1:04 AM	1	0	50	0	0	0	212450640
9/25/06 1:04 AM	1	0	50	0	0	0	212450650
9/25/06 1:04 AM	1	1	51	8	0	100	212450660
9/25/06 1:04 AM	1	0	51	0	0	0	212450670
9/25/06 1:04 AM	1	1	51	2.9	0	0	212450680
9/25/06 1:04 AM	1	2	53	13.3	50	50	212450690
9/25/06 1:05 AM	1	0	53	0	0	0	212450700
9/25/06 1:05 AM	1	0	53	0	0	0	212450710
9/25/06 1:05 AM	1	0	53	0	0	0	212450720
9/25/06 1:05 AM	1	0	53	0	0	0	212450730
9/25/06 1:05 AM	1	0	53	0	0	0	212450740
9/25/06 1:05 AM	1	0	53	0	0	0	212450750
9/25/06 1:06 AM	1	0	53	0	0	0	212450760
9/25/06 1:06 AM	1	0	53	0	0	0	212450770
9/25/06 1:06 AM	1	1	52	10.2	0	100	212450780
9/25/06 1:06 AM	1	2	54	16.8	0	100	212450790
9/25/06 1:06 AM	1	0	54	0	0	0	212450800
9/25/06 1:06 AM	1	0	54	0	0	0	212450810
9/25/06 1:07 AM	1	0	54	0	0	0	212450820
9/25/06 1:07 AM	1	0	54	0	0	0	212450830
9/25/06 1:07 AM	1	0	54	0	0	0	212450840
9/25/06 1:07 AM	1	0	54	0	0	0	212450850
9/25/06 1:07 AM	1	1	54	8.5	0	100	212450860
9/25/06 1:07 AM	1	0	54	0	0	0	212450870
9/25/06 1:08 AM	1	1	54	9	0	100	212450880
9/25/06 1:08 AM	1	0	54	0	0	0	212450890
9/25/06 1:08 AM	1	1	54	1	0	0	212450900
9/25/06 1:08 AM	1	1	52	8.5	0	100	212450910
9/25/06 1:08 AM	1	0	52	0	0	0	212450920
9/25/06 1:08 AM	1	0	52	0	0	0	212450930
9/25/06 1:09 AM	1	0	52	0	0	0	212450940
9/25/06 1:09 AM	1	0	52	0	0	0	212450950
9/25/06 1:09 AM	1	0	52	0	0	0	212450960
9/25/06 1:09 AM	1	1	55	2.3	100	0	212450970
9/25/06 1:09 AM	1	0	55	0	0	0	212450980
9/25/06 1:09 AM	1	0	55	0	0	0	212450990
9/25/06 1:10 AM	1	0	55	0	0	0	212451000
9/25/06 1:10 AM	1	1	52	8.5	0	100	212451010
9/25/06 1:10 AM	1	1	52	9.8	0	100	212451020
9/25/06 1:10 AM	1	0	52	0	0	0	212451030
9/25/06 1:10 AM	1	0	52	9	0	0	212451040
9/25/06 1:10 AM	1	1	51	0.7	0	100	212451050
9/25/06 1:11 AM	1	0	51	0	0	0	212451060
9/25/06 1:11 AM	1	0	51	0	0	0	212451070
9/25/06 1:11 AM	1	0	51	0	0	0	212451080
9/25/06 1:11 AM	1	0	51	0	0	0	212451090
9/25/06 1:11 AM	1	0	51	0	0	0	212451100
9/25/06 1:11 AM	1	1	51	9.9	0	100	212451110
9/25/06 1:12 AM	1	0	51	0	0	0	212451120
9/25/06 1:12 AM	1	0	51	0	0	0	212451130
